Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
A13b_B1_R1	32.884	44.0	100.0	25.0	100000.0
A13b_B1_R2	33.016999999999996	44.0	100.0	33.33333333333333	100000.0
A13b_B2_R1	19.88600000000001	43.0	100.0	16.666666666666664	100000.0
A13b_B2_R2	20.26400000000001	43.0	100.0	16.666666666666664	100000.0
A13c_B1_R1	32.926	42.0	100.0	25.0	100000.0
A13c_B1_R2	32.126999999999995	42.0	100.0	16.666666666666664	100000.0
A13c_B2_R1	26.230000000000004	42.0	100.0	25.0	100000.0
A13c_B2_R2	26.62400000000001	42.0	100.0	16.666666666666664	100000.0
A14b_B1_R1	27.939000000000007	46.0	100.0	33.33333333333333	100000.0
A14b_B1_R2	27.748999999999995	46.0	100.0	25.0	100000.0
A14b_B2_R1	31.75	48.0	100.0	33.33333333333333	100000.0
A14b_B2_R2	31.379999999999995	48.0	100.0	16.666666666666664	100000.0
A14c_B1_R1	37.522999999999996	46.0	100.0	33.33333333333333	100000.0
A14c_B1_R2	35.653000000000006	46.0	100.0	25.0	100000.0
A14c_B2_R1	41.666000000000004	46.0	100.0	25.0	100000.0
A14c_B2_R2	41.839999999999996	46.0	100.0	25.0	100000.0
